	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66	PC67	PC68	PC69	PC70	PC71	PC72	PC73	PC74	PC75	PC76	PC77	PC78	PC79	PC80	PC81	PC82	PC83	PC84	PC85	PC86	PC87	PC88	PC89	PC90	PC91	PC92	PC93	PC94	PC95	PC96	PC97	PC98	PC99	PC100	PC101	PC102	PC103	PC104	PC105	PC106	PC107	PC108	PC109	PC110	PC111	PC112
A.P. Indy	-38.7426263696776	30.6757280612321	41.049433578487	-41.1853379420721	77.579194919626	-3.03605820429832	5.8063529718134	9.90212572457003	-22.4198914047239	6.34526237224334	-2.34988421059869	0.841522501529859	-4.36132209161828	12.9689005912836	-10.4014062372285	3.90143243484479	-6.55424876145552	0.386292872187774	-13.7446608019216	0.708097099147514	-1.46135391186078	3.42509984051994	-1.91158094287143	1.93102594847816	14.002763205815	-6.39167375461529	3.33432608153125	-1.36907356221802	-5.46170359110349	-3.29992426140942	1.53201885727752	3.94781655464	-2.24036493129129	-0.050032009687137	-5.39057207538871	2.44754068048352	0.757052061341774	0.711636779244613	-4.83866645193798	-4.20637831436169	-2.04413250344335	5.77671484855466	7.57036151638209	-7.08994233748076	-3.1331732892942	-5.74521631768575	2.64333664029111	1.65525059825618	2.75102228816035	3.70752988719596	10.8089562453487	-6.11202474446913	-0.682630647660188	-5.01633703322109	-3.04363251023947	-0.194414039544581	6.80910254163922	4.03235984135231	0.413766297297355	2.09798510174626	-7.61548143041801	-1.29539237943169	-1.11167348165529	-3.10739391777079	-4.02023316462166	8.38639471286461	2.64673205188339	1.89566360946899	1.49843576476566	1.49238782063259	5.44628594829219	-1.21431094991604	-8.70529697792773	-4.83543499054922	2.55342277948569	1.17130414251398	4.15513072024005	5.47959242910187	3.14618834818376	-10.54046524881	-2.42038911695628	1.04532270868278	5.6483216181348	7.6500096523908	-11.7839347079119	-10.5092825519623	-7.94668330777426	5.01769727821048	1.96630458055818	5.83810753500136	12.9956493775661	-22.4503947114004	-15.6540269648633	9.92480266607917	2.66277911428795	23.0487806308387	-22.2889539334539	-0.884607500579287	3.87219330850582	13.0653739005575	10.5140336753167	-20.4697248320233	-6.07939916533937	19.6627816440247	-14.9810898319102	6.60298306414026	-2.92451440183162	4.59262523340428	-1.72129660731047	0.915925163479922	-0.162061948482076	1.41994137564801e-13
Acclamation	-18.2991399897977	0.0166164298696828	-24.5360655659404	-26.5004147473315	-11.5921322526694	3.70845009124848	-29.1079336683997	3.89972263586049	-10.132617616508	-23.2273026913257	23.8539402227115	-49.3656173855294	15.2541880384431	21.1667173539009	-28.2353433254962	23.6461439344507	8.11860211032805	-10.6929091036953	24.0286008698589	38.0175213601877	15.4105583270606	14.1779224019505	-40.4587485657181	-6.24903086640837	-16.5093076013935	14.2946822215626	-3.56705316930569	13.1197731578813	8.99367337188135	-0.0265964679136106	4.9888871935912	1.91772675874638	-8.41417808392845	0.509926626420978	-2.92972331017212	13.7727121263018	-0.65922576549904	-9.11183495048908	6.17300730453263	-6.29655203056971	-1.15788854466345	-0.294560209468822	-5.37190289248428	-2.94762791367211	-6.34909260823864	-5.11979358103948	-7.54404058919	-3.78067189769443	0.290721695457924	-9.16369851873373	0.112484614068859	-5.75967317529508	-1.29764837760183	9.24215100576515	-8.29108680555466	-9.17288628831723	1.35432404322184	5.76318053482581	3.85033483745063	0.132746361959356	-5.16674430797276	2.91772568261737	-7.46771255320858	3.28261265123868	-3.9461209964861	-0.860564868888174	-7.92629250249952	6.27741710603404	-4.18075401193032	3.80813750478042	1.82169596599152	4.52787722267122	-11.1902654393015	-1.89076113524557	7.88722207280372	-0.51540182756432	14.2265031848699	-2.37677161324132	-9.86614651748736	-3.40455427443661	5.49797958389593	-1.03813129143994	2.88025996811947	-4.45121885703798	7.77507884057606	11.0326313178456	-9.35857657909734	2.62563033600913	-7.64819413463688	-13.709959315737	26.1603302621292	6.95019000249163	24.0717021326363	5.33006227591085	-2.22113672085458	6.78990285140554	5.48073422915069	15.4193493398551	11.3065537795713	-9.76064104886583	11.0907492647013	-9.99124940187422	-2.19409507221958	0.380159729115753	-0.132465088901613	-4.03938036709054	-3.52522375147151	1.31924770055764	2.76591638394529	-3.15177496299228	-0.10011468588015	-5.82096448882466e-14
Authorized	-10.9320249692618	-45.4824289333246	-5.53635859166585	-4.66141254821708	3.54083710621157	-6.18835632909043	-9.57003920392615	-9.52784108090612	-21.4611098492072	-42.8987965969139	7.167009560869	5.9375148684728	-18.5681979620122	9.14496805682771	12.1450407767493	-9.45839259308402	2.42810962768759	35.8745865047201	-4.32417770438097	-14.0913907433603	33.9930013777439	-6.74566694462212	-4.84222760004565	-1.09010791834036	9.71394596457857	17.2242591413152	-4.48715704939239	-5.19249575920106	3.81019316389931	-17.0614807031856	-6.36840916952846	8.82528943012211	2.38859121940896	-15.4439759711869	10.5013211403644	14.1193238530746	-7.24184828470397	0.534175252969126	-11.2329418931046	4.19517641156135	-4.01845051180782	4.07948452873041	-2.18021207547451	4.82171316198297	5.65252337761746	1.09869080880224	0.14768751148177	4.59698209294432	-16.3557091951276	-12.3097576499315	14.2415462366594	9.20729453124344	-1.85662372675235	-7.92528263349226	8.73141083450621	20.9579432571781	-17.4208882033594	-10.9880691481198	-1.39032382271954	-13.8584741655011	10.0250203968022	-27.3856086333243	-1.43117419443829	-3.56409088023561	10.7225593768798	3.21598755433188	7.76699765250388	-10.7667274553955	1.06246822664064	-6.07548897714175	-3.65462956252688	-8.83276720048	-17.6044954666945	-12.1953236618688	-15.8300039331972	24.4515633958572	4.45055842609924	-14.9576002685525	7.7004987055698	4.32613440281489	11.7913026559852	-6.55247124916478	7.45148460649899	1.77996342739805	-1.82900366501025	-16.0749910170358	1.80546653177452	-8.43230044698028	-4.86712623088386	-0.64400690661563	3.28344821582549	6.73722498442023	3.28781299499452	-2.37978860466722	2.47292581270796	-1.84598928780317	7.80314803919335	4.15249825594261	6.10287656310485	-0.327127735290349	-13.3587885766449	-15.777406887032	13.2102684784548	4.626608740912	-7.9305609933375	-3.16653777474079	-1.38455366449245	-7.96236850766617	0.370950784615162	8.70123424342517	0.74552941850538	2.48154880874024e-13
Bachelor Duke	-25.6231019291724	17.1528659383489	9.72009714239277	14.6849494192616	14.7970869165896	-32.0155465326732	-5.53636590490087	6.75792053263326	-0.54732610943528	10.2508121401623	2.86444010090435	2.42307081568836	5.49582267545559	-10.0897230615844	-7.7564309901546	8.73367636163038	19.9584855884735	0.844888384781046	-0.158028086207779	6.0106905340588	7.08201524564053	0.399322461639629	10.6558393645902	5.94895750190416	-4.97424653195633	-7.36327201482021	-21.8345242611804	2.07794347512162	17.087442833968	-5.22133494774221	19.3906967537446	5.77427942412315	7.67978591855252	-13.3086782534189	9.38401800301975	-7.68224251919983	15.4719826912426	12.0256899666523	3.80322436633159	8.96620051695184	-10.1014028591287	12.9786420659453	29.1610603153306	-15.4127914062	-20.1824821053669	3.43335136671871	-2.07144721275954	5.40382736381465	-21.7012592723568	-18.8167381616949	-7.10405380900552	16.2287161038516	-28.5536210405384	5.62995621489813	-21.7420231485286	1.97386974499334	-22.8348198073681	-12.9989173476149	-0.133529796299163	-5.23803740840516	-22.0886700074493	3.42341946409128	-21.4003644406049	29.7234431051374	-2.67719071953693	-1.68969390898572	-0.582837348145263	15.4204953021388	1.73767791391545	25.3502460501919	-0.363514713906796	-8.34980948906398	12.8752466149786	9.20141334596156	13.904854015647	18.8502558249755	-7.64871906829059	3.36259123312717	-11.0423695057075	2.37123365820608	7.03154204523168	10.4977949858103	-6.25510828566023	-7.33977095043569	1.55567733299715	-5.11118411705587	-10.8521976609542	-9.48930802829329	6.33407520212409	-0.184824873815802	-8.01766995921134	-5.91826116037833	3.05335858170687	-8.64773965861401	9.31539975879615	-6.00425261243451	2.17377052985009	-5.51548025091062	2.9113842897512	1.59909049349836	-2.91356774756967	-0.00474447443470408	-2.50416129617794	2.57585975911721	0.832638442894132	-2.83984106701184	-0.269133425666791	-1.61505227609225	-0.867494821376719	1.70370268144849	0.31295100362645	-1.10934450746325e-13
Bel Esprit	0.461950526180688	-1.24050653987042	-4.463155294825	-34.9867281889256	-9.60882398795041	-2.49656528243025	6.21954553461069	-4.3521700487987	-2.59835043206309	-25.5642656864388	-9.03446877073912	-13.3127040371832	2.99631417796619	-0.530242041033405	0.230631092854847	16.2863788181064	17.2024454868122	25.3650549129963	-2.72675380625815	11.7845049973588	-12.9423874807372	-6.34903790813041	30.4112868897445	-9.61265503406616	-1.52312945944462	-21.1275096663743	0.449177464401581	-11.554837786862	18.2426558769165	20.6317640935258	-17.3908534074763	-15.9391331767597	19.4951158277031	-30.3265374865865	5.98396987875678	-41.68549764821	2.78858081526301	-31.4887365056389	7.63891084905862	-1.03724488285551	13.0588429268363	-20.0549825568228	-8.44549652706929	-1.02608011173366	-14.593554323365	29.7871180969222	0.2200331846141	-0.172570516073252	-11.8492247734049	-23.1178544501295	-14.7940891221125	14.4803928632854	19.2003384832073	-0.0583561947580309	-11.3259678019137	9.21218783747627	3.60972420104004	-5.46260885638906	-16.4982456719257	1.14435436934568	1.93197699639785	-7.38398137527689	-4.92468682541557	-12.93620295224	-21.9847626210518	-5.5586146402713	7.65230086459877	7.07029020473678	-4.47205477281036	-15.3328441134954	5.43627478808199	0.219671222241774	5.03194724936815	0.845791088282095	-6.26105890125833	-11.345530377481	-8.68515531812995	-12.5020738862848	-10.0390437162379	-13.2803670768697	-2.84877426740106	5.21510225238387	-0.505944157924035	2.8894488092799	-13.1189378770766	2.74407512196788	3.58731504985619	7.14406519763009	-4.02237829195786	-4.73819815704875	-3.91048435901906	-3.07601392601851	2.08922259425649	3.31791367500108	0.542693859897536	2.16264210360565	-1.94295263197806	2.66555755933325	8.42450417766075	0.384942674486687	2.32750614630057	-2.74741170740792	-0.913357234437161	-2.68570561795086	-4.54191519595828	-0.960948307940905	2.33564662303533	-1.37625440213026	-0.9233945861017	-1.88611322159489	2.18303316023596	3.53965640333836e-13
Bernardini	-28.4218953813361	24.9103859608084	33.2088676716805	-33.1900706684828	65.4294044920536	-10.7807755838104	5.02065354727736	15.5804898965007	-8.1656703658413	3.61288643396637	-3.99298557369897	1.78623450773911	2.1848328165321	24.4843219568405	-8.5407409826441	6.39255948421558	6.7637966102345	-3.8209265827581	-8.64425175482043	-7.01826732773529	3.24706996926417	7.60589412984529	5.57705283097429	13.6087186381122	0.680315207456345	3.99097794983985	-3.40870257922119	-5.8867073657348	-6.45160556372889	3.95169407915597	-1.1697766496764	9.62498442291536	0.886951948095034	-15.8549807951544	-7.47018044899137	1.9778590031343	7.35599419430489	0.255652283606019	1.88508981181379	-4.71241837413407	-2.5032948537737	-7.41922706324696	2.29558850035381	8.07997374355346	-3.72297676509554	-11.784854148651	-0.880495869233693	5.12654225442813	5.99050758079927	1.39727607591243	-21.435612784208	0.195262157015672	4.45778249071858	-14.7653307990617	10.6763129816275	-5.34332708260723	2.14698786403899	9.42629765955645	-4.66703981610078	2.6797360189816	27.0674563649393	8.04305229480122	11.1289187016047	-0.263907178824683	-4.54612811398625	-10.7123465851648	8.9474044820081	20.3788647616013	-5.27143223715999	5.04494523434142	8.36031831183838	-19.7707781847663	-2.4414857275523	21.8284257555511	-0.873584596878863	-3.89849859028623	-6.05407001194452	-3.93513314411665	12.2711039217858	26.8665939688076	7.62859202037335	-1.99588516358201	14.2690589599054	0.860491754040872	11.4149522767979	4.64538093347063	18.8825153534142	-0.838721636894349	10.2881700601231	-31.3788816578475	5.63418897165382	4.94868808048446	0.980827434921052	-8.68373047878481	-1.81161298178775	-7.02574303778941	6.86565241596201	2.64475368832294	-0.469306803475232	-3.55857894099073	-13.282953954991	3.97078611130873	0.990307825482191	-8.48320510028262	4.71933873965338	-1.60990719677744	1.75809665256864	-0.839953043979993	2.61160621776523	-1.54447480664427	0.696750045376646	-3.05889982329835e-14
Cape Cross	8.81688172954895	4.21964541518673	-66.6191318044946	9.54576804056794	33.3636795100545	13.9280210592093	13.7517210290042	-6.10983534190008	-7.8697041946844	19.3382930142849	-11.9359814633286	0.879385568831965	-10.9138773039169	-7.59839046585293	-10.1934275082361	33.5415589144341	-6.7001413070067	4.59961760526154	-8.84866932668293	-17.6013259869074	20.0414672485906	-4.22669441463558	-10.0666837328177	4.80061182919772	-25.0487964676514	-6.11199619896892	21.189395822944	2.44051315632312	6.23209534339845	9.01382019032246	-3.49576072488766	-12.6687787254965	12.1632682329555	10.2166465424664	-1.85283176039763	11.9291863352535	3.24930142521076	1.90957819802862	-6.02281084450525	0.365896543603858	4.00421437965087	-4.52306520741762	-0.362241451570928	-5.74413822613881	6.96341009759515	-1.13037136292939	9.80931224315535	13.3919616420155	10.6261194861168	-9.81987354499626	-8.74879261860481	-3.03297698155597	-7.11373536363976	4.88793007038771	3.63021292857144	1.22395034804439	3.95187473502519	0.455782759857063	-5.58599150663841	0.183005312895651	-4.9116519669017	-1.91473286434652	2.42473295427792	2.47522544671032	-4.86130226989944	-1.03759828275453	-0.911052072604823	8.48613730821024	1.63281945510366	-2.60749943040177	-12.3232478925825	1.60444602071122	-0.366008768037825	-5.23717502134176	-7.7004782226025	1.98687457147774	2.06698748583848	-0.817513412586881	-0.946249996213658	-10.809282304254	0.704187986508863	-6.38761233999285	12.4881146715302	11.7489473823967	-3.30090939017279	7.43982006528725	-10.436949142733	-2.80387201279677	12.1491830095865	-8.22910135340349	2.64157261034851	0.758732327719921	12.940065845953	7.88766413171979	5.4429752049445	-8.37408087770045	-7.00899111481969	-34.6267137213711	0.494059280530452	8.81137893418365	-0.612294229940174	9.9731174979895	20.246104856459	-1.96223597720075	-10.7203293843136	-6.13416694516232	-15.9953978394712	-5.71781154492705	4.83643025862142	-10.6260934049802	1.23662287654991	-7.71398148198435e-14
Captain Al	-14.0677273488083	6.39908652586629	-7.12126071150007	-11.2649049488858	4.64180496614488	-2.59885048741412	-0.570036730386266	-24.3334936639181	-0.0792783828537011	11.5691701681912	12.4882002114203	-26.698392355919	0.120323991490596	-10.825069064835	-25.3268219994734	-23.7962575696268	5.15638990803123	4.99749565413293	-22.9601194413032	-31.2090598060908	-6.4298752432865	13.6972726054943	3.03516087541317	-23.5927004909163	10.8169233586113	6.43190577352413	6.49145772072741	-4.81050811021775	5.30322176340988	44.7283984520994	-2.29302042204896	-17.9883660771628	-17.6945762547991	-8.60293231132112	17.7766564357123	30.6348546491436	0.162970908359766	13.6878410618267	6.29390119859559	-9.42843977990688	55.4023898903309	6.51770421858159	-0.086870734189209	4.81903102483222	21.1150286486531	2.36752966455004	-31.3041914467136	-6.90109079407969	3.39642118074008	-8.30154077576392	11.9577285684311	-0.653199971015271	0.0269578998813826	5.47140275908149	-18.7394675247194	11.535575137521	10.7210400632637	4.74884672006915	-10.3077756255395	-4.80064100830416	-5.39959615580815	13.2031588416183	-14.2577728838138	-12.8975363469868	6.93888244015023	2.6422384676646	-1.98531272831787	-11.6645250774515	-0.704062733696972	20.1890962306884	4.10613967330423	-14.6801754502228	6.71141859720989	2.68589695971201	1.98418023094949	11.5962678406351	-8.15025909593739	0.252429244523847	-4.98005672869916	8.28989491743619	-2.39441389330552	-4.42713578450409	-3.01556811785165	0.114245754845888	-1.43977359953213	3.29171822173338	4.99040353431117	3.36365914513893	-2.60335693315626	-0.488957815761355	-1.96740745960992	3.35745699762632	-3.6156492785622	-1.90146662230269	-4.29648294272643	2.09783386270731	0.643715324492581	0.709220182947285	3.19702939721935	0.117500994575252	-3.99069100633147	4.47224228947108	2.4182124994434	3.39649385196157	-0.24149219249151	0.494681647242591	0.807658238798333	0.206067712301825	0.334404466979217	-0.767254039344176	0.470802245446047	-6.34192363270394e-14
Casino Prince	16.0502037036938	10.1132098872287	8.44565871404919	3.45488367759338	1.06558984718625	-7.78670705697089	13.5466397842319	15.9259512405269	-2.66372807213087	7.54539073979367	14.0551314977297	-9.74567862255683	1.65038280305333	6.87737901244764	19.0207939762467	11.6705555412283	19.1557216447071	-28.5902069950925	5.72880298634825	-28.9633107663188	25.2899793451122	1.75976625450044	-9.98488959909554	-25.0184446626343	-1.10231058560365	14.8849645139736	-1.84021508123009	3.22373499503526	-25.0778347827305	-8.34856087750321	0.68787483655169	10.3359875535735	37.0463260457228	5.54106777717087	4.08942294417469	0.883024243107672	4.98272472005131	-16.645672678875	5.34391882007942	30.1786103472011	17.6345592582393	4.09969321060188	17.1552001646081	-0.277698188599314	-4.0054807633403	16.615994486418	0.118381452621997	-9.51569006751954	19.6669197769715	6.34200577006989	-5.52573334094165	5.21209915264927	-17.6389705573746	-7.63728209199772	-0.254951123697646	7.32307567467759	5.10407109631265	-7.22195945595755	3.92493414180164	6.2267153582373	-0.127149194827193	-9.42472194182801	-4.06982494253966	-9.86471746929909	0.780486520899803	-12.5642846228307	12.2415262742705	-3.40760785933293	-9.34462335174698	0.284797576101932	8.94854448630348	9.04567364780421	-10.5713423574122	6.40371856994697	2.01695148286795	-3.27894094572094	-13.7590524763582	0.816658957656217	-14.0922306432067	0.535308278807882	-10.9509504742763	-12.130762621015	-3.206088247489	12.023674531796	4.57211677408459	-16.8190948388456	-6.75076920331284	20.5280512795371	-4.01483407818515	9.2845208499464	18.9440011632972	1.52368468760738	-14.3909136988574	-6.72112536624525	5.11106660678617	-0.714820748844022	6.49039805069611	-6.6540968703478	4.21315434965839	-7.51144994907072	6.31814913038922	-2.21920609636502	2.87309250186826	-9.09766486091	14.62411732237	-4.57836678818018	-3.21202316159352	-2.64346600397755	-6.56774755959289	0.391630466269908	0.233287076828792	-8.21495047890184e-14
Chevalier	54.3306987900758	-19.146460912639	4.78557555966805	6.47045660429791	2.85935783203082	-4.16267207129682	-5.15031790291776	-9.99527879835864	-7.34073538570774	16.531667688088	-3.15335417490234	-9.18387147707102	-5.48643464833171	6.67978285284007	5.02159471334536	-8.22062554548062	8.96748144238774	-8.53368723364966	-0.906070783295071	4.98914422551676	-8.6108464018888	7.45711453140865	-3.60303928869054	6.49814814372976	-2.86716297862064	-15.468706681253	5.13738083567793	9.54155383314596	-11.9586986576112	11.3741988716972	-8.38137662534557	21.9190557542074	-10.0995707064672	-3.48341148464492	5.0007258645767	18.0123704819088	-0.897485652474025	7.30348368340262	-12.1285394183875	-3.11922325539388	8.86092681449705	-7.68970987458095	-5.84744385979621	-18.738653813024	-19.3557535227812	10.0705374098242	6.29721102870944	-8.65371586333592	-7.59590887492977	3.47680291392766	-29.4829469931326	5.35743497511173	-11.9258870825378	21.5408528923077	-7.46394085641423	-24.3907736885489	-6.69428524787569	-17.6194174683557	-3.04845964300471	-9.85480188180956	27.6498640571225	-7.12029188477374	-8.71416586756253	10.8102218650792	-15.9864174696145	-10.0780369584826	10.5944470602465	-22.7292416327115	0.558530450579457	0.0193735990172936	-14.8202337005719	15.3966644870004	5.83329329528443	3.09889336792424	7.42201111789774	8.19768523532841	5.86038076996201	7.05474990035052	4.15841687438899	9.08802730651354	22.7789034837431	-7.30751030372952	7.09024542867163	23.2481809087646	-2.73940934219475	10.3372287421437	9.45047841479065	9.4241727672772	-14.3956199850868	11.6157698486394	-0.309051293828701	-10.1417679731639	-2.37783764107579	9.92120120630454	-12.6964060641324	3.48423841965219	1.96399408969757	-0.200052392445041	-4.30175727067764	6.54532221690269	-6.373172350752	-6.64124988712505	-0.140865359491589	-5.23970626197716	-4.76774433123997	0.00655075706931931	6.41444972245972	0.706946010197751	5.09596287968755	-1.46124669538411	-5.28319277276085	-1.07130245362188e-14
